Species, Freq
Bovine viral diarrhea virus 3, 132
Bovine viral diarrhea virus 3 CH-KaHo/cont, 1
Bovine viral diarrhea virus 3 SVA/cont-08, 3
Bovine viral diarrhea virus 3 Th/04_KhonKaen, 3
Chamois pestivirus 1, 4
Norway rat pestivirus, 2
Ovine pestivirus, 11
Pestivirus Burdur/05-TR, 1
Pestivirus Giraffe-1, 1
Pestivirus PG-2, 4
Pestivirus giraffe-1 H138, 3
Pestivirus sp., 7
Pestivirus sp. Brz buf 9, 1
Pestivirus sp. TCO-2014, 40
Pestivirus strain Aydin/04-TR, 2
Pestivirus strain D32/00_HoBi, 4
Porcine pestivirus 1, 4
Porcine pestivirus isolate Bungowannah, 5
Pronghorn antelope pestivirus, 2
Rhinolophus affinis pestivirus 1, 1
Tunisian sheep virus 33S, 4
Tunisian sheep virus 35, 2
Tunisian sheep virus 35T, 2
Tunisian sheep virus 37A, 3
Tunisian sheep virus BM01, 4
Tunisian sheep virus Lot21, 2
Tunisian sheep virus RM, 1
Tunisian sheep virus SN1T, 3
Tunisian sheep virus SN2T, 2
Tunisian sheep virus SN3G, 2
Tunisian small ruminant pestivirus, 5
